,ticker,open,high,low,close,volume,value
2022-03-12 09:00:00,KRW-BTC,48314000.0,49098000.0,48202000.0,48500000.0,2697.3021978,131418547496.89621
2022-03-13 09:00:00,KRW-BTC,48500000.0,48904000.0,47310000.0,47510000.0,4109.28591186,198434298602.69345
2022-03-14 09:00:00,KRW-BTC,47500000.0,49515000.0,47186000.0,49171000.0,6352.92355068,306727422441.91864
2022-03-15 09:00:00,KRW-BTC,49212000.0,49383000.0,47781000.0,48640000.0,5609.76874722,271852039162.99026
2022-03-16 09:00:00,KRW-BTC,48609000.0,51307000.0,48402000.0,50389000.0,12621.47055692,628482964168.743
2022-03-17 09:00:00,KRW-BTC,50392000.0,51099000.0,49647000.0,50069000.0,6441.90030738,323349085571.79724
2022-03-18 09:00:00,KRW-BTC,50069000.0,51220000.0,49423000.0,50770000.0,6364.18693386,319119972074.8756
2022-03-19 09:00:00,KRW-BTC,50736000.0,51300000.0,50615000.0,51245000.0,5016.39241849,255391353100.587
2022-03-20 09:00:00,KRW-BTC,51245000.0,51350000.0,50001000.0,50462000.0,4050.02865173,205914406605.1418
2022-03-21 09:00:00,KRW-BTC,50471000.0,50756000.0,49832000.0,50128000.0,4418.7158295,221912265997.20813
2022-03-22 09:00:00,KRW-BTC,50128000.0,52396000.0,50013000.0,51704000.0,8395.36748077,433481110248.89
2022-03-23 09:00:00,KRW-BTC,51689000.0,52232000.0,51118000.0,52138000.0,5293.40295388,273158203021.73694
2022-03-24 09:00:00,KRW-BTC,52138000.0,53416000.0,51800000.0,52966000.0,7289.94185362,382789038401.1927
2022-03-25 09:00:00,KRW-BTC,52907000.0,54450000.0,52700000.0,53791000.0,5670.82751458,303815424407.88043
2022-03-26 09:00:00,KRW-BTC,53836000.0,54241000.0,53402000.0,53902000.0,3333.05874444,179588672016.24872
2022-03-27 09:00:00,KRW-BTC,53888000.0,56201000.0,53674000.0,55949000.0,5341.02371604,292027317612.86926
2022-03-28 09:00:00,KRW-BTC,55936000.0,57678000.0,55827000.0,56914000.0,6374.43514602,361568618614.51605
2022-03-29 09:00:00,KRW-BTC,56900000.0,57540000.0,56390000.0,56985000.0,6629.17847063,378907479327.83264
2022-03-30 09:00:00,KRW-BTC,56985000.0,57100000.0,56015000.0,56620000.0,4136.11449268,234529415255.21085
2022-03-31 09:00:00,KRW-BTC,56594000.0,57227000.0,55230000.0,55352000.0,5141.56326564,290425399182.101
2022-04-01 09:00:00,KRW-BTC,55331000.0,56790000.0,54246000.0,56369000.0,6752.64535556,373769566768.1517
2022-04-02 09:00:00,KRW-BTC,56326000.0,57350000.0,55831000.0,56050000.0,3882.90202767,219803855319.6424
2022-04-03 09:00:00,KRW-BTC,56006000.0,57500000.0,55830000.0,56639000.0,3818.05603689,216198441541.75647
2022-04-04 09:00:00,KRW-BTC,56596000.0,57300000.0,55510000.0,57055000.0,5916.74018564,333784681103.21405
2022-04-05 09:00:00,KRW-BTC,57069000.0,57645000.0,56070000.0,56155000.0,4627.20865106,262969075152.23587
2022-04-06 09:00:00,KRW-BTC,56195000.0,56323000.0,53034000.0,53072000.0,6776.51882585,371677583452.9044
2022-04-07 09:00:00,KRW-BTC,53072000.0,54340000.0,52754000.0,53814000.0,5354.28937148,287115749510.7967
2022-04-08 09:00:00,KRW-BTC,53813000.0,54700000.0,52798000.0,52934000.0,5123.92239629,276079923582.83856
2022-04-09 09:00:00,KRW-BTC,52934000.0,53355000.0,52754000.0,53258000.0,2253.81675285,119522891228.52135
2022-04-10 09:00:00,KRW-BTC,53295000.0,53950000.0,52462000.0,52819000.0,2289.32077614,121721077484.73825
2022-04-11 09:00:00,KRW-BTC,52799000.0,53060000.0,50010000.0,50050000.0,5382.92604992,277983876671.78253
2022-04-12 09:00:00,KRW-BTC,50050000.0,51195000.0,49608000.0,50577000.0,4730.16465608,238179333127.62677
